Year,Order,Player,Nationality,Club,Points
2016,11,Pierre-Emerick Aubameyang,Borussia Dortmund,Gabon,7
2016,12,Rui Patrício,Sporting CP,Portugal,6
2016,13,Zlatan Ibrahimović,Paris Saint-Germain /  Manchester United,Sweden,5
2016,14,Paul Pogba,Juventus /  Manchester United,France,4
2016,14,Arturo Vidal,Bayern Munich,Chile,4
2016,16,Robert Lewandowski,Bayern Munich,Poland,3
2016,17,Toni Kroos,Real Madrid,Germany,1
2016,17,Luka Modrić,Real Madrid,Croatia,1
2016,17,Dimitri Payet,West Ham United,France,1
2016,20,Sergio Agüero,Manchester City,Argentina,0
2016,20,Kevin De Bruyne,Manchester City,Belgium,0
2016,20,Paulo Dybala,Juventus,Argentina,0
2016,20,Diego Godín,Atlético Madrid,Uruguay,0
2016,20,Gonzalo Higuaín,Napoli / Juventus,Argentina,0
2016,20,Andrés Iniesta,Barcelona,Spain,0
2016,20,Koke,Atlético Madrid,Spain,0
2016,20,Hugo Lloris,Tottenham Hotspur,France,0
2016,20,Thomas Müller,Bayern Munich,Germany,0
2016,20,Manuel Neuer,Bayern Munich,Germany,0
2016,20,Sergio Ramos,Real Madrid,Spain,0
2017,1,Cristiano Ronaldo,Real Madrid,Portugal,946
2017,2,Lionel Messi,Barcelona,Argentina,670
2017,3,Neymar,Barcelona /  Paris Saint-Germain,Brazil,361
2017,4,Gianluigi Buffon,Juventus,Italy,221
2017,5,Luka Modrić,Real Madrid,Croatia,84
2017,6,Sergio Ramos,Real Madrid,Spain,71
2017,7,Kylian Mbappé,Monaco /  Paris Saint-Germain,France,48
2017,8,N'Golo Kanté,Chelsea,France,47
2017,9,Robert Lewandowski,Bayern Munich,Poland,45
2017,10,Harry Kane,Tottenham Hotspur,England,36
2017,11,Edinson Cavani,Paris Saint-Germain,Uruguay,32
2017,12,Isco,Real Madrid,Spain,28
2017,13,Luis Suárez,Barcelona,Uruguay,27
2017,14,Kevin De Bruyne,Manchester City,Belgium,25
2017,15,Paulo Dybala,Juventus,Argentina,23
2017,16,Marcelo,Real Madrid,Brazil,21
2017,17,Toni Kroos,Real Madrid,Germany,20
2017,18,Antoine Griezmann,Atlético Madrid,France,17
2017,19,Eden Hazard,Chelsea,Belgium,16
2017,20,David de Gea,Manchester United,Spain,15
2017,21,Pierre-Emerick Aubameyang,Borussia Dortmund,Gabon,14
2017,21,Leonardo Bonucci,Juventus / Milan,Italy,14
2017,23,Sadio Mané,Liverpool,Senegal,10
2017,24,Radamel Falcao,Monaco,Colombia,9
2017,25,Karim Benzema,Real Madrid,France,7
2017,26,Jan Oblak,Atlético Madrid,Slovenia,4
2017,27,Mats Hummels,Bayern Munich,Germany,3
2017,28,Edin Džeko,Roma,Bosnia and Herzegovina,2
2017,29,Philippe Coutinho,Liverpool,Brazil,0
2017,29,Dries Mertens,Napoli,Italy+Q1:Q30,0
2018,1,Luka Modrić,Real Madrid,Croatia,753
2018,2,Cristiano Ronaldo,Real Madrid /  Juventus,Portugal,478
2018,3,Antoine Griezmann,Atlético Madrid,France,414
2018,4,Kylian Mbappé,Paris Saint-Germain,France,347
2018,5,Lionel Messi,Barcelona,Argentina,280
2018,6,Mohamed Salah,Liverpool,Egypt,188
2018,7,Raphaël Varane,Real Madrid,France,121
2018,8,Eden Hazard,Chelsea,Belgium,119
2018,9,Kevin De Bruyne,Manchester City,Belgium,29
2018,10,Harry Kane,Tottenham Hotspur,England,25
2018,11,N'Golo Kanté,Chelsea,France,24
2018,12,Neymar,Paris Saint-Germain,Brazil,19
2018,13,Luis Suárez,Barcelona,Uruguay,17
2018,14,Thibaut Courtois,Chelsea /  Real Madrid,Belgium,12
2018,15,Paul Pogba,Manchester United,France,9
2018,16,Sergio Agüero,Manchester City,Argentina,7
2018,17,Gareth Bale,Real Madrid,Wales,6
2018,17,Karim Benzema,Real Madrid,France,6
2018,19,Roberto Firmino,Liverpool,Brazil,4
2018,19,Ivan Rakitić,Barcelona,Croatia,4
2018,19,Sergio Ramos,Real Madrid,Spain,4
2018,22,Edinson Cavani,Paris Saint-Germain,Uruguay,3
2018,22,Sadio Mané,Liverpool,Senegal,3
2018,22,Marcelo,Real Madrid,Brazil,3
2018,25,Alisson,Roma / Liverpool,Brazil,2
2018,25,Mario Mandžukić,Juventus,Croatia,2
2018,25,Jan Oblak,Atlético Madrid,Slovenia,2
2018,28,Diego Godín,Atlético Madrid,Uruguay,1
2018,29,Isco,Real Madrid,Spain,0
2018,29,Hugo Lloris,Tottenham Hotspur,France,0
2019,1,Lionel Messi,Argentina ,Barcelona,686
2019,2,Virgil Van Dijk,Netherlands ,Liverpool,679
2019,3,Cristiano Ronaldo,Portugal ,Juventus,476
2019,4,Sadio Mané,Senegal ,Liverpool,347
2019,5,Mohamed Salah,Egypt ,Liverpool,178
2019,6,Kylian Mbappé,France ,Paris Saint-Germain,89
2019,7,Alisson,Brazil ,Liverpool,67
2019,8,Robert Lewandowski,Poland ,Bayern Munich,44
2019,9,Bernardo Silva,Portugal ,Manchester City,41
2019,10,Riyad Mahrez,Algeria ,Manchester City,33
2019,11,Frenkie de Jong,Netherlands ,Ajax / Barcelona,31
2019,12,Raheem Sterling,England ,Manchester City,30
2019,13,Eden Hazard,Belgium ,Chelsea / Real Madrid,25
2019,14,Kevin De Bruyne,Belgium ,Manchester City,14
2019,15,Matthijs de Ligt,Netherlands ,Ajax / Juventus,13
2019,16,Sergio Agüero,Argentina ,Manchester City,12
2019,17,Roberto Firmino,Brazil ,Liverpool,11
2019,18,Antoine Griezmann,France ,Atlético Madrid / Barcelona,9
2019,19,Trent Alexander-Arnold,England ,Liverpool,8
2019,20,Pierre-Emerick Aubameyang,Gabon ,Arsenal,5
2019,20,Dušan Tadić,Serbia ,Ajax,5
2019,22,Son Heung-min,South Korea,Tottenham Hotspur,4
2019,23,France Hugo Lloris,France ,Tottenham Hotspur,3
2019,24,Kalidou Koulibaly,Senegal ,Napoli,2
2019,24,Marc-André ter Stegen,Germany ,Barcelona,2
2019,26,Karim Benzema,France ,Real Madrid,1
2019,26,Georginio Wijnaldum,Netherlands ,Liverpool,1
2019,28,João Félix,Portugal ,Benfica / Atlético Madrid,0
2019,28,Marquinhos,Brazil ,Paris Saint-Germain,0
2019,28,Donny van de Beek,Netherlands ,Ajax,0
2021,1,Lionel Messi,Argentina,Paris Saint-Germain,613
2021,2,Robert Lewandowski,Poland,Bayern Munich,580
2021,3,Jorginho,Italy,Chelsea,460
2021,4,Karim Benzema,France,Real Madrid,239
2021,5,N'Golo Kanté,France,Chelsea,186
2021,6,Cristiano Ronaldo,Portugal,"Juventus, Manchester United",178
2021,7,Mohamed Salah,Egypt,Liverpool,121
2021,8,Kevin De Bruyne,Belgium,Manchester City,73
2021,9,Kylian Mbappé,France,Paris Saint-Germain,58
2021,10,Gianluigi Donnarumma,Italy,"Milan, Paris Saint-Germain",36
2021,11,Erling Haaland,Norway,Borussia Dortmund,33
2021,12,Romelu Lukaku,Belgium,"Inter Milan, Chelsea",26
2021,12,Giorgio Chiellini,Italy,Juventus,26
2021,14,Leonardo Bonucci,Italy,Juventus,18
2021,15,Raheem Sterling,England,Manchester City,10
2021,16,Neymar,Brazil,Paris Saint-Germain,9
2021,17,Luis Suárez,Uruguay,Atlético Madrid,8
2021,17,Simon Kjær,Denmark,Milan,8
2021,19,Mason Mount,England,Chelsea,7
2021,19,Riyad Mahrez,Algeria,Manchester City,7
2021,21,Bruno Fernandes,Portugal,Manchester United,6
2021,21,Lautaro Martínez,Argentina,Inter Milan,6
2021,23,Harry Kane,England,Tottenham Hotspur,4
2021,24,Pedri,Spain,Barcelona,3
2021,25,Phil Foden,England,Manchester City,2
2021,26,Gerard Moreno,Spain,Villarreal,1
2021,26,Nicolò Barella,Italy,Inter Milan,1
2021,26,Rúben Dias,Portugal,Manchester City,1
2021,29,Luka Modrić,Croatia,Real Madrid,0
2021,29,Cesar Azpilicueta,Spain,Chelsea,0
2022,1,Karim Benzema,France,Real Madrid,549
2022,2,Sadio Mane,Senegal,"Liverpool /
          Bayern Munich",193
2022,3,Kevin De Bruyne,Belgium,Man City,175
2022,4,Robert Lewandowski,Poland,"Bayern Munich /
          Barcelona",170
2022,5,Mohamed Salah,Egypt,Liverpool,116
2022,6,Kylian Mbappe,France,PSG,85
2022,7,Thibaut Courtois,Belgium,Real Madrid,82
2022,8,Vinicius Jr.,Brazil,Real Madrid,61
2022,9,Luka Modric,Croatia,Real Madrid,20
2022,10,Erling Haaland,Norway,Man City,18
2022,11,Son Heung-min,South Korea,Tottenham,5
2022,12,Riyad Mahrez,Algeria,Man City,4
2022,13,Sebastien Haller,Ivory Coast,"Ajax /
          B. Dortmund",2
2022,13,Fabinho,Brazil,Liverpool,2
2022,13,Rafael Leao,Portugal,AC Milan,2
2022,16,Virgil van Dijk,Netherlands,Liverpool,1
2022,16,Casemiro,Brazil,"Real Madrid /
          Man United",1
2022,16,Dusan Vlahovic,Serbia,"Fiorentina /
          Juventus",1
2022,16,Luis Diaz,Colombia,"Porto /
          Liverpool",1
2022,20,Cristiano Ronaldo,Portugal,Man United,0
2022,20,Harry Kane,England,Tottenham,0
2022,20,Trent Alexander-Arnold,England,Liverpool,0
2022,20,Phil Foden,England,Man City,0
2022,20,Bernardo Silva,Portugal,Man City,0
2022,20,Joshua Kimmich,Germany,Bayern Munich,0
2022,20,Mike Maignan,France,AC Milan,0
2022,20,Antonio Rudiger,Germany,"Chelsea /
          Real Madrid",0
2022,20,Joao Cancelo,Portugal,Man City,0
2022,20,Christopher Nkunku,France,RB Leipzig,0
2022,20,Darwin Nunez,Uruguay,"Benfica /
          Liverpool",0
2023,1,Lionel Messi,Argentina,PSG,462
2023,2,Erling Haaland,Norway,Man City,357
2023,3,Kylian Mbappe,France,PSG,270
2023,4,Kevin de Bruyne,Belgium,Man City,100
2023,5,Rodri,Spain,Man City,57
2023,6,Vinicius Jr,Brazil,Real Madrid,49
2023,7,Julian Alvarez,Argentina,Man City,28
2023,8,Victor Osimhen,Nigeria,Napoli,24
2023,9,Bernardo Silva,Portugal,Man City,20
2023,10,Luka Modric,Croatia,Real Madrid,19
2023,11,Mohamed Salah,Egypt,Liverpool,13
2023,12,Robert Lewandowski,Poland,Barcelona,12
2023,13,Yassine Bounou,Morocco,Sevilla,10
2023,14,Ilkay Gundogan,Germany,Man City / Barcelona,8
2023,15,Emiliano Martinez,Argentina,Aston Villa,7
2023,16,Karim Benzema,France,Real Madrid,6
2023,16,Khvicha Kvaratskhelia,Georgia,Napoli,6
2023,18,Jude Bellingham,England,Borussia Dortmund / Real Madrid,5
2023,19,Harry Kane,England,Tottenham / Bayern Munich,4
2023,19,Lautaro Martinez,Argentina,Inter Milan,4
2023,19,Antoine Griezmann,France,Atletico Madrid,4
2023,22,Kim Min-Jae,South Korea,Napoli / Bayern Munich,3
2023,23,Andre Onana,Cameroon,Man United,2
2023,24,Bukayo Saka,England,Arsenal,1
2023,24,Josko Gvardiol,Croatia,RB Leipzig / Man City,1
2023,26,Jamal Musiala,Germany,Bayern Munich,0
2023,26,Nicolo Barella,Italy,Inter Milan,0
2023,26,Randal Kolo Muani,France,Eintracht Frankfurt / PSG,0
2023,26,Martin Odegaard,Norway,Arsenal,0
2023,26,Ruben Dias,Portugal,Man City,0
